date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:46:30	112/112	---M-Z	200	added ('OK')	text/plain	date:Fri,%2021%20Nov%202025%2001:46:30%20GMT	https://www.mamouns.com/robots.txt		(from )
20:46:30	50306/50306	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Nov%202025%2001:46:30%20GMT	https://www.mamouns.com/	C:/Users/Seif%20Abdelhamid/OneDrive%20-%20Seton%20Hall%20University/Desktop/Omgyro/www.mamouns.com/index.html	(from )
20:46:31	105547/105547	---M--	200	added ('OK')	image/png	etag:%221046a590e765f3313eda75c03e78a014%22	https://media-cdn.getbento.com/accounts/0e58cf8ea89fa9cc4ccdf16360d9f235/media/images/38634Logo_Circle_Brown__White_Backing-01.png	C:/Users/Seif%20Abdelhamid/OneDrive%20-%20Seton%20Hall%20University/Desktop/Omgyro/media-cdn.getbento.com/accounts/0e58cf8ea89fa9cc4ccdf16360d9f235/media/images/38634Logo_Circle_Brown__White_Backing-01.png	(from https://www.mamouns.com/)
20:46:31	24969/24969	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Oct%202025%2014:35:51%20GMT	https://images.getbento.com/accounts/0e58cf8ea89fa9cc4ccdf16360d9f235/media/images/16580wVHQPL80.png?w=1200&fit=fill&auto=compress,format&cs=origin&h=600&bg=EDEDF1&pad=100	C:/Users/Seif%20Abdelhamid/OneDrive%20-%20Seton%20Hall%20University/Desktop/Omgyro/images.getbento.com/accounts/0e58cf8ea89fa9cc4ccdf16360d9f235/media/images/16580wVHQPL800463.jpg	(from https://www.mamouns.com/)
20:46:31	190760/190760	---M--	200	added ('OK')	image/png	date:Tue,%2013%20May%202025%2014:54:37%20GMT	https://images.getbento.com/accounts/0e58cf8ea89fa9cc4ccdf16360d9f235/media/images/16580wVHQPL80.png	C:/Users/Seif%20Abdelhamid/OneDrive%20-%20Seton%20Hall%20University/Desktop/Omgyro/images.getbento.com/accounts/0e58cf8ea89fa9cc4ccdf16360d9f235/media/images/16580wVHQPL80.png	(from https://www.mamouns.com/)
20:46:31	26388/26388	---MCZ	200	added ('OK')	application/javascript	etag:%22cc838e466bb9be7a5e4e8e159db5ec41%22	https://wsv3cdn.audioeye.com/bootstrap.js?h=d3c07d3f65425f3287114d60264823d5	C:/Users/Seif%20Abdelhamid/OneDrive%20-%20Seton%20Hall%20University/Desktop/Omgyro/wsv3cdn.audioeye.com/bootstrap66ca.js	(from https://www.mamouns.com/)
20:46:32	35742/35742	---M-Z	200	added ('OK')	text/javascript	etag:%22a6f411a617df1616418ff069c5fc11af%22	https://theme-assets.getbento.com/sensei/d1bfc36.sensei/assets/js/head.min.js	C:/Users/Seif%20Abdelhamid/OneDrive%20-%20Seton%20Hall%20University/Desktop/Omgyro/theme-assets.getbento.com/sensei/d1bfc36.sensei/assets/js/head.min.js	(from https://www.mamouns.com/)
20:46:32	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-54a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	C:/Users/Seif%20Abdelhamid/OneDrive%20-%20Seton%20Hall%20University/Desktop/Omgyro/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	(from https://www.mamouns.com/)
20:46:33	332606/332606	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2021%20Nov%202025%2001:46:33%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Seif%20Abdelhamid/OneDrive%20-%20Seton%20Hall%20University/Desktop/Omgyro/connect.facebook.net/en_US/fbevents.js	(from https://www.mamouns.com/)
20:46:33	1200/1200	---MC-	200	added ('OK')	text/javascript	date:Fri,%2021%20Nov%202025%2001:46:33%20GMT	https://www.google.com/recaptcha/enterprise.js?render=6Ldh0uwrAAAAABZNEucYwqZZ3oOahk4lRhONMg5a	C:/Users/Seif%20Abdelhamid/OneDrive%20-%20Seton%20Hall%20University/Desktop/Omgyro/www.google.com/recaptcha/enterprise776a.js	(from https://www.mamouns.com/)
